Infinitive,переписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепишу́
2nd Sing,перепи́шешь
3rd Sing,перепи́шет
1st Pl,перепи́шем
2nd Pl,перепи́шете
3rd Pl,перепи́шут
Past M,переписа́л
Past F,переписа́ла
Past N,переписа́ло
Past PL,переписа́ли
Imp S,перепиши́
Imp PL,перепиши́те
