Infinitive,перемести́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перемести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перемести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перемещу́сь
2nd Sing,перемести́шься
3rd Sing,перемести́тся
1st Pl,перемести́мся
2nd Pl,перемести́тесь
3rd Pl,переместя́тся
Past M,перемести́лся
Past F,перемести́лась
Past N,перемести́лось
Past PL,перемести́лись
Imp S,перемести́сь
Imp PL,перемести́тесь
