Infinitive,переле́зть
Zaliznyak Class,7a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переле́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переле́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переле́зу
2nd Sing,переле́зешь
3rd Sing,переле́зет
1st Pl,переле́зем
2nd Pl,переле́зете
3rd Pl,переле́зут
Past M,переле́з
Past F,переле́зла
Past N,переле́зло
Past PL,переле́зли
Imp S,переле́зь
Imp PL,переле́зьте
