Infinitive,перевести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переведу́
2nd Sing,переведёшь
3rd Sing,переведёт
1st Pl,переведём
2nd Pl,переведёте
3rd Pl,переведу́т
Past M,перевёл
Past F,перевела́
Past N,перевело́
Past PL,перевели́
Imp S,переведи́
Imp PL,переведи́те
