Infinitive,перекры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перекры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перекры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перекры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перекры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перекро́ю
2nd Sing,перекро́ешь
3rd Sing,перекро́ет
1st Pl,перекро́ем
2nd Pl,перекро́ете
3rd Pl,перекро́ют
Past M,перекры́л
Past F,перекры́ла
Past N,перекры́ло
Past PL,перекры́ли
Imp S,перекро́й
Imp PL,перекро́йте
