Infinitive,перестра́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перестра́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перестра́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перестра́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перестра́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перестра́иваюсь
2nd Sing,перестра́иваешься
3rd Sing,перестра́ивается
1st Pl,перестра́иваемся
2nd Pl,перестра́иваетесь
3rd Pl,перестра́иваются
Past M,перестра́ивался
Past F,перестра́ивалась
Past N,перестра́ивалось
Past PL,перестра́ивались
Imp S,перестра́ивайся
Imp PL,перестра́ивайтесь
