Infinitive,перелиста́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перелиста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перели́станный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перелиста́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перелиста́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перелиста́ю
2nd Sing,перелиста́ешь
3rd Sing,перелиста́ет
1st Pl,перелиста́ем
2nd Pl,перелиста́ете
3rd Pl,перелиста́ют
Past M,перелиста́л
Past F,перелиста́ла
Past N,перелиста́ло
Past PL,перелиста́ли
Imp S,перелиста́й
Imp PL,перелиста́йте
