Infinitive,перемежа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перемежа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перемежа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перемежа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перемежа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перемежа́юсь
2nd Sing,перемежа́ешься
3rd Sing,перемежа́ется
1st Pl,перемежа́емся
2nd Pl,перемежа́етесь
3rd Pl,перемежа́ются
Past M,перемежа́лся
Past F,перемежа́лась
Past N,перемежа́лось
Past PL,перемежа́лись
Imp S,перемежа́йся
Imp PL,перемежа́йтесь
