Infinitive,перепа́чкать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепа́чкавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепа́чканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепа́чкав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепа́чкавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепа́чкаю
2nd Sing,перепа́чкаешь
3rd Sing,перепа́чкает
1st Pl,перепа́чкаем
2nd Pl,перепа́чкаете
3rd Pl,перепа́чкают
Past M,перепа́чкал
Past F,перепа́чкала
Past N,перепа́чкало
Past PL,перепа́чкали
Imp S,перепа́чкай
Imp PL,перепа́чкайте
