Infinitive,перекуси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перекуси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переку́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перекуси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перекуси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перекушу́
2nd Sing,переку́сишь
3rd Sing,переку́сит
1st Pl,переку́сим
2nd Pl,переку́сите
3rd Pl,переку́сят
Past M,перекуси́л
Past F,перекуси́ла
Past N,перекуси́ло
Past PL,перекуси́ли
Imp S,перекуси́
Imp PL,перекуси́те
