Infinitive,перевести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переве́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,переве́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,переведу́сь
2nd Sing,переведёшься
3rd Sing,переведётся
1st Pl,переведёмся
2nd Pl,переведётесь
3rd Pl,переведу́тся
Past M,перевёлся
Past F,перевела́сь
Past N,перевело́сь
Past PL,перевели́сь
Imp S,переведи́сь
Imp PL,переведи́тесь
