Infinitive,перегова́риваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перегова́ривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегова́ривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перегова́риваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перегова́ривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перегова́риваюсь
2nd Sing,перегова́риваешься
3rd Sing,перегова́ривается
1st Pl,перегова́риваемся
2nd Pl,перегова́риваетесь
3rd Pl,перегова́риваются
Past M,перегова́ривался
Past F,перегова́ривалась
Past N,перегова́ривалось
Past PL,перегова́ривались
Imp S,перегова́ривайся
Imp PL,перегова́ривайтесь
