Infinitive,перемина́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перемина́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перемина́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перемина́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перемина́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перемина́юсь
2nd Sing,перемина́ешься
3rd Sing,перемина́ется
1st Pl,перемина́емся
2nd Pl,перемина́етесь
3rd Pl,перемина́ются
Past M,перемина́лся
Past F,перемина́лась
Past N,перемина́лось
Past PL,перемина́лись
Imp S,перемина́йся
Imp PL,перемина́йтесь
