Infinitive,переигра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переигра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переи́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переигра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переигра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переигра́ю
2nd Sing,переигра́ешь
3rd Sing,переигра́ет
1st Pl,переигра́ем
2nd Pl,переигра́ете
3rd Pl,переигра́ют
Past M,переигра́л
Past F,переигра́ла
Past N,переигра́ло
Past PL,переигра́ли
Imp S,переигра́й
Imp PL,переигра́йте
