Infinitive,перере́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перере́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перере́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перере́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перере́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перере́жу
2nd Sing,перере́жешь
3rd Sing,перере́жет
1st Pl,перере́жем
2nd Pl,перере́жете
3rd Pl,перере́жут
Past M,перере́зал
Past F,перере́зала
Past N,перере́зало
Past PL,перере́зали
Imp S,перере́жь
Imp PL,перере́жьте
