Infinitive,перепу́таться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перепу́тавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепу́тавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перепу́таюсь
2nd Sing,перепу́таешься
3rd Sing,перепу́тается
1st Pl,перепу́таемся
2nd Pl,перепу́таетесь
3rd Pl,перепу́таются
Past M,перепу́тался
Past F,перепу́талась
Past N,перепу́талось
Past PL,перепу́тались
Imp S,перепу́тайся
Imp PL,перепу́тайтесь
