Infinitive,переводи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переводи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переводи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перевожу́сь
2nd Sing,перево́дишься
3rd Sing,перево́дится
1st Pl,перево́димся
2nd Pl,перево́дитесь
3rd Pl,перево́дятся
Past M,переводи́лся
Past F,переводи́лась
Past N,переводи́лось
Past PL,переводи́лись
Imp S,переводи́сь
Imp PL,переводи́тесь
