Infinitive,перепеча́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепеча́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепеча́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепеча́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепеча́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепеча́таю
2nd Sing,перепеча́таешь
3rd Sing,перепеча́тает
1st Pl,перепеча́таем
2nd Pl,перепеча́таете
3rd Pl,перепеча́тают
Past M,перепеча́тал
Past F,перепеча́тала
Past N,перепеча́тало
Past PL,перепеча́тали
Imp S,перепеча́тай
Imp PL,перепеча́тайте
