Infinitive,переме́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переме́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переме́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переме́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переме́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переме́шиваюсь
2nd Sing,переме́шиваешься
3rd Sing,переме́шивается
1st Pl,переме́шиваемся
2nd Pl,переме́шиваетесь
3rd Pl,переме́шиваются
Past M,переме́шивался
Past F,переме́шивалась
Past N,переме́шивалось
Past PL,переме́шивались
Imp S,переме́шивайся
Imp PL,переме́шивайтесь
