Infinitive,передви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,передви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,передви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,передви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,передви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,передви́ну
2nd Sing,передви́нешь
3rd Sing,передви́нет
1st Pl,передви́нем
2nd Pl,передви́нете
3rd Pl,передви́нут
Past M,передви́нул
Past F,передви́нула
Past N,передви́нуло
Past PL,передви́нули
Imp S,передви́нь
Imp PL,передви́ньте
