Infinitive,переплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переплы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переплы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переплы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переплыву́
2nd Sing,переплывёшь
3rd Sing,переплывёт
1st Pl,переплывём
2nd Pl,переплывёте
3rd Pl,переплыву́т
Past M,переплы́л
Past F,переплыла́
Past N,переплы́ло
Past PL,переплы́ли
Imp S,переплыви́
Imp PL,переплыви́те
