Infinitive,перебра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перебра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пере́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перебра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перебра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переберу́
2nd Sing,переберёшь
3rd Sing,переберёт
1st Pl,переберём
2nd Pl,переберёте
3rd Pl,переберу́т
Past M,перебра́л
Past F,перебрала́
Past N,перебра́ло
Past PL,перебра́ли
Imp S,перебери́
Imp PL,перебери́те
