Infinitive,переверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переверну́
2nd Sing,перевернёшь
3rd Sing,перевернёт
1st Pl,перевернём
2nd Pl,перевернёте
3rd Pl,переверну́т
Past M,переверну́л
Past F,переверну́ла
Past N,переверну́ло
Past PL,переверну́ли
Imp S,переверни́
Imp PL,переверни́те
