Infinitive,перева́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перева́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перева́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перева́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перева́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перева́ливаюсь
2nd Sing,перева́ливаешься
3rd Sing,перева́ливается
1st Pl,перева́ливаемся
2nd Pl,перева́ливаетесь
3rd Pl,перева́ливаются
Past M,перева́ливался
Past F,перева́ливалась
Past N,перева́ливалось
Past PL,перева́ливались
Imp S,перева́ливайся
Imp PL,перева́ливайтесь
