Infinitive,переборщи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,переборщи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переборщи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,переборщи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,переборщу́
2nd Sing,переборщи́шь
3rd Sing,переборщи́т
1st Pl,переборщи́м
2nd Pl,переборщи́те
3rd Pl,переборща́т
Past M,переборщи́л
Past F,переборщи́ла
Past N,переборщи́ло
Past PL,переборщи́ли
Imp S,переборщи́
Imp PL,переборщи́те
