Infinitive,перепи́ть
Zaliznyak Class,11b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепи́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепью́
2nd Sing,перепьёшь
3rd Sing,перепьёт
1st Pl,перепьём
2nd Pl,перепьёте
3rd Pl,перепью́т
Past M,перепи́л
Past F,перепила́
Past N,перепи́ло
Past PL,перепи́ли
Imp S,перепе́й
Imp PL,перепе́йте
