Infinitive,перекла́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перекла́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перекла́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перекла́дываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перекла́дывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перекла́дывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перекла́дывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перекла́дываю
2nd Sing,перекла́дываешь
3rd Sing,перекла́дывает
1st Pl,перекла́дываем
2nd Pl,перекла́дываете
3rd Pl,перекла́дывают
Past M,перекла́дывал
Past F,перекла́дывала
Past N,перекла́дывало
Past PL,перекла́дывали
Imp S,перекла́дывай
Imp PL,перекла́дывайте
