Infinitive,перечита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перечита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перечи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перечита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перечита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перечита́ю
2nd Sing,перечита́ешь
3rd Sing,перечита́ет
1st Pl,перечита́ем
2nd Pl,перечита́ете
3rd Pl,перечита́ют
Past M,перечита́л
Past F,перечита́ла
Past N,перечита́ло
Past PL,перечита́ли
Imp S,перечита́й
Imp PL,перечита́йте
