Infinitive,переключи́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переключи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переключи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переключу́сь
2nd Sing,переключи́шься
3rd Sing,переключи́тся
1st Pl,переключи́мся
2nd Pl,переключи́тесь
3rd Pl,переключа́тся
Past M,переключи́лся
Past F,переключи́лась
Past N,переключи́лось
Past PL,переключи́лись
Imp S,переключи́сь
Imp PL,переключи́тесь
