Infinitive,перемести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перемести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перемещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перемести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перемести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перемещу́
2nd Sing,перемести́шь
3rd Sing,перемести́т
1st Pl,перемести́м
2nd Pl,перемести́те
3rd Pl,переместя́т
Past M,перемести́л
Past F,перемести́ла
Past N,перемести́ло
Past PL,перемести́ли
Imp S,перемести́
Imp PL,перемести́те
