Infinitive,переда́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переда́мся
2nd Sing,переда́шься
3rd Sing,переда́стся
1st Pl,передади́мся
2nd Pl,передади́тесь
3rd Pl,передаду́тся
Past M,переда́лся
Past F,передала́сь
Past N,передало́сь
Past PL,передали́сь
Imp S,переда́йся
Imp PL,переда́йтесь
