Infinitive,перемени́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перемени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перемени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переменю́сь
2nd Sing,переме́нишься
3rd Sing,переме́нится
1st Pl,переме́нимся
2nd Pl,переме́нитесь
3rd Pl,переме́нятся
Past M,перемени́лся
Past F,перемени́лась
Past N,перемени́лось
Past PL,перемени́лись
Imp S,перемени́сь
Imp PL,перемени́тесь
