Infinitive,переселя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переселя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переселя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переселя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переселя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переселя́юсь
2nd Sing,переселя́ешься
3rd Sing,переселя́ется
1st Pl,переселя́емся
2nd Pl,переселя́етесь
3rd Pl,переселя́ются
Past M,переселя́лся
Past F,переселя́лась
Past N,переселя́лось
Past PL,переселя́лись
Imp S,переселя́йся
Imp PL,переселя́йтесь
