Infinitive,перечи́слить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перечи́сливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перечи́сленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перечи́слив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перечи́сливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перечи́слю
2nd Sing,перечи́слишь
3rd Sing,перечи́слит
1st Pl,перечи́слим
2nd Pl,перечи́слите
3rd Pl,перечи́слят
Past M,перечи́слил
Past F,перечи́слила
Past N,перечи́слило
Past PL,перечи́слили
Imp S,перечи́сли
Imp PL,перечи́слите
