Infinitive,пересе́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пересе́кшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,пересёкшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересе́кшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересёкшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересеку́сь
2nd Sing,пересечёшься
3rd Sing,пересечётся
1st Pl,пересечёмся
2nd Pl,пересечётесь
3rd Pl,пересеку́тся
Past M,пересёкся
Past F,пересекла́сь
Past N,пересекло́сь
Past PL,пересекли́сь
Imp S,пересеки́сь
Imp PL,пересеки́тесь
