Infinitive,перестро́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перестро́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перестро́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перестро́юсь
2nd Sing,перестро́ишься
3rd Sing,перестро́ится
1st Pl,перестро́имся
2nd Pl,перестро́итесь
3rd Pl,перестро́ятся
Past M,перестро́ился
Past F,перестро́илась
Past N,перестро́илось
Past PL,перестро́ились
Imp S,перестро́йся
Imp PL,перестро́йтесь
