Infinitive,переда́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пе́реданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переда́м
2nd Sing,переда́шь
3rd Sing,переда́ст
1st Pl,передади́м
2nd Pl,передади́те
3rd Pl,передаду́т
Past M,переда́л
Past F,передала́
Past N,переда́ло
Past PL,переда́ли
Imp S,переда́й
Imp PL,переда́йте
