Infinitive,переключа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переключа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переключа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переключа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переключа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переключа́юсь
2nd Sing,переключа́ешься
3rd Sing,переключа́ется
1st Pl,переключа́емся
2nd Pl,переключа́етесь
3rd Pl,переключа́ются
Past M,переключа́лся
Past F,переключа́лась
Past N,переключа́лось
Past PL,переключа́лись
Imp S,переключа́йся
Imp PL,переключа́йтесь
