Infinitive,пересчи́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересчи́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересчи́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересчи́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пересчи́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,пересчи́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,пересчи́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пересчи́тываю
2nd Sing,пересчи́тываешь
3rd Sing,пересчи́тывает
1st Pl,пересчи́тываем
2nd Pl,пересчи́тываете
3rd Pl,пересчи́тывают
Past M,пересчи́тывал
Past F,пересчи́тывала
Past N,пересчи́тывало
Past PL,пересчи́тывали
Imp S,пересчи́тывай
Imp PL,пересчи́тывайте
