Infinitive,перепи́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перепи́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепи́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепи́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перепи́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепи́сываюсь
2nd Sing,перепи́сываешься
3rd Sing,перепи́сывается
1st Pl,перепи́сываемся
2nd Pl,перепи́сываетесь
3rd Pl,перепи́сываются
Past M,перепи́сывался
Past F,перепи́сывалась
Past N,перепи́сывалось
Past PL,перепи́сывались
Imp S,перепи́сывайся
Imp PL,перепи́сывайтесь
