Infinitive,перебыва́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перебыва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебыва́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перебыва́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перебыва́ю
2nd Sing,перебыва́ешь
3rd Sing,перебыва́ет
1st Pl,перебыва́ем
2nd Pl,перебыва́ете
3rd Pl,перебыва́ют
Past M,перебыва́л
Past F,перебыва́ла
Past N,перебыва́ло
Past PL,перебыва́ли
Imp S,перебыва́й
Imp PL,перебыва́йте
