Infinitive,переки́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переки́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переки́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переки́нусь
2nd Sing,переки́нешься
3rd Sing,переки́нется
1st Pl,переки́немся
2nd Pl,переки́нетесь
3rd Pl,переки́нутся
Past M,переки́нулся
Past F,переки́нулась
Past N,переки́нулось
Past PL,переки́нулись
Imp S,переки́нься
Imp PL,переки́ньтесь
