Infinitive,передвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,передвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,передвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,передвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,передвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,передвига́юсь
2nd Sing,передвига́ешься
3rd Sing,передвига́ется
1st Pl,передвига́емся
2nd Pl,передвига́етесь
3rd Pl,передвига́ются
Past M,передвига́лся
Past F,передвига́лась
Past N,передвига́лось
Past PL,передвига́лись
Imp S,передвига́йся
Imp PL,передвига́йтесь
