Infinitive,перестава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перестаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перестава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перестава́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перестава́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,перестава́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,перестаю́
2nd Sing,перестаёшь
3rd Sing,перестаёт
1st Pl,перестаём
2nd Pl,перестаёте
3rd Pl,перестаю́т
Past M,перестава́л
Past F,перестава́ла
Past N,перестава́ло
Past PL,перестава́ли
Imp S,перестава́й
Imp PL,перестава́йте
