Infinitive,пересе́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересе́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,пересёкший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересечённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,пересе́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пересёкши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пересеку́
2nd Sing,пересечёшь
3rd Sing,пересечёт
1st Pl,пересечём
2nd Pl,пересечёте
3rd Pl,пересеку́т
Past M,пересёк
Past F,пересекла́
Past N,пересекло́
Past PL,пересекли́
Imp S,пересеки́
Imp PL,пересеки́те
