Infinitive,перетащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перетащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перета́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перетащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перетащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перетащу́
2nd Sing,перета́щишь
3rd Sing,перета́щит
1st Pl,перета́щим
2nd Pl,перета́щите
3rd Pl,перета́щат
Past M,перетащи́л
Past F,перетащи́ла
Past N,перетащи́ло
Past PL,перетащи́ли
Imp S,перетащи́
Imp PL,перетащи́те
