Infinitive,переболе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,переболе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переболе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,переболе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,переболе́ю
2nd Sing,переболе́ешь
3rd Sing,переболе́ет
1st Pl,переболе́ем
2nd Pl,переболе́ете
3rd Pl,переболе́ют
Past M,переболе́л
Past F,переболе́ла
Past N,переболе́ло
Past PL,переболе́ли
Imp S,переболе́й
Imp PL,переболе́йте
