Infinitive,пе́чься
Zaliznyak Class,8b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пеку́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пёкшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пёкшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пеку́сь
2nd Sing,печёшься
3rd Sing,печётся
1st Pl,печёмся
2nd Pl,печётесь
3rd Pl,пеку́тся
Past M,пёкся
Past F,пекла́сь
Past N,пекло́сь
Past PL,пекли́сь
Imp S,пеки́сь
Imp PL,пеки́тесь
