Infinitive,перетека́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перетека́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перетека́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перетека́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перетека́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,перетека́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,перетека́ю
2nd Sing,перетека́ешь
3rd Sing,перетека́ет
1st Pl,перетека́ем
2nd Pl,перетека́ете
3rd Pl,перетека́ют
Past M,перетека́л
Past F,перетека́ла
Past N,перетека́ло
Past PL,перетека́ли
Imp S,перетека́й
Imp PL,перетека́йте
