Infinitive,перерасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перерасту́
2nd Sing,перерастёшь
3rd Sing,перерастёт
1st Pl,перерастём
2nd Pl,перерастёте
3rd Pl,перерасту́т
Past M,переро́с
Past F,переросла́
Past N,переросло́
Past PL,переросли́
Imp S,перерасти́pererastí
Imp PL,перерасти́те
