Infinitive,перечисля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перечисля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перечисля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перечисля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перечисля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перечисля́юсь
2nd Sing,перечисля́ешься
3rd Sing,перечисля́ется
1st Pl,перечисля́емся
2nd Pl,перечисля́етесь
3rd Pl,перечисля́ются
Past M,перечисля́лся
Past F,перечисля́лась
Past N,перечисля́лось
Past PL,перечисля́лись
Imp S,перечисля́йся
Imp PL,перечисля́йтесь
