Infinitive,переоде́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переоде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переоде́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переоде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переоде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переоде́ну
2nd Sing,переоде́нешь
3rd Sing,переоде́нет
1st Pl,переоде́нем
2nd Pl,переоде́нете
3rd Pl,переоде́нут
Past M,переоде́л
Past F,переоде́ла
Past N,переоде́ло
Past PL,переоде́ли
Imp S,переоде́нь
Imp PL,переоде́ньте
