Infinitive,перепо́лнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепо́лнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепо́лненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепо́лнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепо́лнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепо́лню
2nd Sing,перепо́лнишь
3rd Sing,перепо́лнит
1st Pl,перепо́лним
2nd Pl,перепо́лните
3rd Pl,перепо́лнят
Past M,перепо́лнил
Past F,перепо́лнила
Past N,перепо́лнило
Past PL,перепо́лнили
Imp S,перепо́лни
Imp PL,перепо́лните
