Infinitive,переси́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переси́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переси́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переси́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переси́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переси́лю
2nd Sing,переси́лишь
3rd Sing,переси́лит
1st Pl,переси́лим
2nd Pl,переси́лите
3rd Pl,переси́лят
Past M,переси́лил
Past F,переси́лила
Past N,переси́лило
Past PL,переси́лили
Imp S,переси́ль
Imp PL,переси́льте
