Infinitive,перекури́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перекури́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переку́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перекури́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перекури́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перекурю́
2nd Sing,переку́ришь
3rd Sing,переку́рит
1st Pl,переку́рим
2nd Pl,переку́рите
3rd Pl,переку́рят
Past M,перекури́л
Past F,перекури́ла
Past N,перекури́ло
Past PL,перекури́ли
Imp S,перекури́
Imp PL,перекури́те
