Infinitive,перечеркну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перечеркну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перечёркнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перечеркну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перечеркну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перечеркну́
2nd Sing,перечеркнёшь
3rd Sing,перечеркнёт
1st Pl,перечеркнём
2nd Pl,перечеркнёте
3rd Pl,перечеркну́т
Past M,перечеркну́л
Past F,перечеркну́ла
Past N,перечеркну́ло
Past PL,перечеркну́ли
Imp S,перечеркни́
Imp PL,перечеркни́те
