Infinitive,переноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перенося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перенося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переношу́сь
2nd Sing,перено́сишься
3rd Sing,перено́сится
1st Pl,перено́симся
2nd Pl,перено́ситесь
3rd Pl,перено́сятся
Past M,переноси́лся
Past F,переноси́лась
Past N,переноси́лось
Past PL,переноси́лись
Imp S,переноси́сь
Imp PL,переноси́тесь
