Infinitive,перевоспи́тывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевоспи́тывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевоспи́тывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевоспи́тываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перевоспи́тывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перевоспи́тывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перевоспи́тывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перевоспи́тываю
2nd Sing,перевоспи́тываешь
3rd Sing,перевоспи́тывает
1st Pl,перевоспи́тываем
2nd Pl,перевоспи́тываете
3rd Pl,перевоспи́тывают
Past M,перевоспи́тывал
Past F,перевоспи́тывала
Past N,перевоспи́тывало
Past PL,перевоспи́тывали
Imp S,перевоспи́тывай
Imp PL,перевоспи́тывайте
