Infinitive,перемахну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перемахну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перема́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перемахну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перемахну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перемахну́
2nd Sing,перемахнёшь
3rd Sing,перемахнёт
1st Pl,перемахнём
2nd Pl,перемахнёте
3rd Pl,перемахну́т
Past M,перемахну́л
Past F,перемахну́ла
Past N,перемахну́ло
Past PL,перемахну́ли
Imp S,перемахни́
Imp PL,перемахни́те
