Infinitive,переоце́нивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переоце́нивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переоце́нивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переоце́ниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переоце́нивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,переоце́нивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,переоце́нивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,переоце́ниваю
2nd Sing,переоце́ниваешь
3rd Sing,переоце́нивает
1st Pl,переоце́ниваем
2nd Pl,переоце́ниваете
3rd Pl,переоце́нивают
Past M,переоце́нивал
Past F,переоце́нивала
Past N,переоце́нивало
Past PL,переоце́нивали
Imp S,переоце́нивай
Imp PL,переоце́нивайте
