Infinitive,перемеша́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перемеша́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перемеша́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перемеша́юсь
2nd Sing,перемеша́ешься
3rd Sing,перемеша́ется
1st Pl,перемеша́емся
2nd Pl,перемеша́етесь
3rd Pl,перемеша́ются
Past M,перемеша́лся
Past F,перемеша́лась
Past N,перемеша́лось
Past PL,перемеша́лись
Imp S,перемеша́йся
Imp PL,перемеша́йтесь
