Infinitive,перепро́бовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепро́бовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепро́бованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепро́бовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепро́бовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепро́бую
2nd Sing,перепро́буешь
3rd Sing,перепро́бует
1st Pl,перепро́буем
2nd Pl,перепро́буете
3rd Pl,перепро́буют
Past M,перепро́бовал
Past F,перепро́бовала
Past N,перепро́бовало
Past PL,перепро́бовали
Imp S,перепро́буй
Imp PL,перепро́буйте
