Infinitive,перескочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перескочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переско́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перескочи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перескочи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перескочу́
2nd Sing,переско́чишь
3rd Sing,переско́чит
1st Pl,переско́чим
2nd Pl,переско́чите
3rd Pl,переско́чат
Past M,перескочи́л
Past F,перескочи́ла
Past N,перескочи́ло
Past PL,перескочи́ли
Imp S,перескочи́
Imp PL,перескочи́те
