Infinitive,передава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,передаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,передава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,передава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,передава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,передаю́сь
2nd Sing,передаёшься
3rd Sing,передаётся
1st Pl,передаёмся
2nd Pl,передаётесь
3rd Pl,передаю́тся
Past M,передава́лся
Past F,передава́лась
Past N,передава́лось
Past PL,передава́лись
Imp S,передава́йся
Imp PL,передава́йтесь
